sfm,threshold,fold,direction_code,direction_biological,r_at_1,r_at_5,r_at_10,note
eSFM,mmseqs_040,1,ag2ab,S→E,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_040,2,ag2ab,S→E,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_040,3,ag2ab,S→E,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_040,4,ag2ab,S→E,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_040,mean_0-3,ag2ab,S→E,40.6 ± 3.0,64.0 ± 3.4,73.0 ± 3.0,CL-verified writeup means (folds 0-3)
eSFM,mmseqs_040,0,ab2ag,E→S,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_040,1,ab2ag,E→S,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_040,2,ab2ag,E→S,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_040,3,ab2ag,E→S,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_040,4,ab2ag,E→S,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_040,mean_0-3,ab2ag,E→S,66.4 ± 3.3,79.2 ± 2.1,83.4 ± 1.9,CL-verified writeup means (folds 0-3)
mhcSFM,identity_100,0,ag2ab,peptide→allele,64.6,77.0,79.8,
mhcSFM,identity_100,1,ag2ab,peptide→allele,65.9,78.8,81.8,
mhcSFM,identity_100,2,ag2ab,peptide→allele,63.3,76.6,80.6,
mhcSFM,identity_100,3,ag2ab,peptide→allele,68.0,80.2,85.4,
mhcSFM,identity_100,4 *,ag2ab,peptide→allele,63.9,79.6,81.3,
mhcSFM,identity_100,mean_0-4,ag2ab,peptide→allele,65.1 ± 1.9,78.4 ± 1.6,81.8 ± 2.2,5-fold mean
mhcSFM,identity_100,0,ab2ag,allele→peptide,95.0,99.4,99.5,
mhcSFM,identity_100,1,ab2ag,allele→peptide,94.5,99.9,100.0,
mhcSFM,identity_100,2,ab2ag,allele→peptide,93.4,99.2,99.5,
mhcSFM,identity_100,3,ab2ag,allele→peptide,95.0,99.7,100.0,
mhcSFM,identity_100,4 *,ab2ag,allele→peptide,88.8,97.2,98.6,
mhcSFM,identity_100,mean_0-4,ab2ag,allele→peptide,93.3 ± 2.6,99.1 ± 1.1,99.5 ± 0.6,5-fold mean
mhcSFM,mmseqs_080,0,ag2ab,peptide→allele,71.5,94.0,94.6,
mhcSFM,mmseqs_080,1,ag2ab,peptide→allele,68.3,91.2,91.9,
mhcSFM,mmseqs_080,2,ag2ab,peptide→allele,54.9,82.6,82.6,
mhcSFM,mmseqs_080,3,ag2ab,peptide→allele,67.5,96.8,97.3,
mhcSFM,mmseqs_080,4 *,ag2ab,peptide→allele,77.4,97.5,98.0,
mhcSFM,mmseqs_080,mean_0-4,ag2ab,peptide→allele,67.9 ± 8.3,92.4 ± 6.0,92.9 ± 6.2,5-fold mean
mhcSFM,mmseqs_080,0,ab2ag,allele→peptide,97.2,98.3,99.2,
mhcSFM,mmseqs_080,1,ab2ag,allele→peptide,94.7,98.9,100.0,
mhcSFM,mmseqs_080,2,ab2ag,allele→peptide,90.4,94.9,96.7,
mhcSFM,mmseqs_080,3,ab2ag,allele→peptide,99.3,100.0,100.0,
mhcSFM,mmseqs_080,4 *,ab2ag,allele→peptide,99.1,100.0,100.0,
mhcSFM,mmseqs_080,mean_0-4,ab2ag,allele→peptide,96.1 ± 3.7,98.4 ± 2.1,99.2 ± 1.4,5-fold mean
mhcSFM,mmseqs_060,0,ag2ab,peptide→allele,75.9,97.4,97.6,
mhcSFM,mmseqs_060,1,ag2ab,peptide→allele,62.5,86.6,87.2,
mhcSFM,mmseqs_060,2,ag2ab,peptide→allele,74.3,99.5,99.5,
mhcSFM,mmseqs_060,3,ag2ab,peptide→allele,71.9,98.5,98.5,
mhcSFM,mmseqs_060,4 *,ag2ab,peptide→allele,61.6,86.9,87.3,
mhcSFM,mmseqs_060,mean_0-4,ag2ab,peptide→allele,69.2 ± 6.7,93.8 ± 6.5,94.0 ± 6.2,5-fold mean
mhcSFM,mmseqs_060,0,ab2ag,allele→peptide,98.0,98.9,99.0,
mhcSFM,mmseqs_060,1,ab2ag,allele→peptide,91.3,96.6,99.3,
mhcSFM,mmseqs_060,2,ab2ag,allele→peptide,96.1,97.9,98.8,
mhcSFM,mmseqs_060,3,ab2ag,allele→peptide,99.7,100.0,100.0,
mhcSFM,mmseqs_060,4 *,ab2ag,allele→peptide,92.0,97.4,99.6,
mhcSFM,mmseqs_060,mean_0-4,ab2ag,allele→peptide,95.4 ± 3.7,98.2 ± 1.3,99.3 ± 0.5,5-fold mean
mhcSFM,zero_shot_rare_alleles,0,ag2ab,peptide→allele,53.2,88.5,91.8,14-allele zero-shot holdout (single fold)
mhcSFM,zero_shot_rare_alleles,1,ag2ab,peptide→allele,N/A,N/A,N/A,fold not evaluated
mhcSFM,zero_shot_rare_alleles,2,ag2ab,peptide→allele,N/A,N/A,N/A,fold not evaluated
mhcSFM,zero_shot_rare_alleles,3,ag2ab,peptide→allele,N/A,N/A,N/A,fold not evaluated
mhcSFM,zero_shot_rare_alleles,4,ag2ab,peptide→allele,N/A,N/A,N/A,fold not evaluated
mhcSFM,zero_shot_rare_alleles,mean_0,ag2ab,peptide→allele,53.2 (n=1),88.5 (n=1),91.8 (n=1),single fold (folds 1-4 lack checkpoints)
mhcSFM,zero_shot_rare_alleles,0,ab2ag,allele→peptide,95.4,99.3,100.0,14-allele zero-shot holdout (single fold)
mhcSFM,zero_shot_rare_alleles,1,ab2ag,allele→peptide,N/A,N/A,N/A,fold not evaluated
mhcSFM,zero_shot_rare_alleles,2,ab2ag,allele→peptide,N/A,N/A,N/A,fold not evaluated
mhcSFM,zero_shot_rare_alleles,3,ab2ag,allele→peptide,N/A,N/A,N/A,fold not evaluated
mhcSFM,zero_shot_rare_alleles,4,ab2ag,allele→peptide,N/A,N/A,N/A,fold not evaluated
mhcSFM,zero_shot_rare_alleles,mean_0,ab2ag,allele→peptide,95.4 (n=1),99.3 (n=1),100.0 (n=1),single fold (folds 1-4 lack checkpoints)
crisprSFM,identity_100,0,ag2ab,gRNA→OT,98.6,99.7,100.0,
crisprSFM,identity_100,1,ag2ab,gRNA→OT,99.0,99.5,99.5,
crisprSFM,identity_100,2,ag2ab,gRNA→OT,98.8,99.8,100.0,
crisprSFM,identity_100,3,ag2ab,gRNA→OT,98.1,99.5,99.5,
crisprSFM,identity_100,4 *,ag2ab,gRNA→OT,82.4,94.4,96.0,
